experiment,subject_ID,date,task,session_type,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,1,16:53:48,16:53:52,00:00:04,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,True,0.1639,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,2,16:53:48,16:53:57,00:00:09,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,right,True,0.1564,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,3,16:53:48,16:54:01,00:00:13,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1489.wav,right,True,0.1489,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,4,16:53:48,16:54:05,00:00:17,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1414.wav,right,True,0.1414,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,5,16:53:48,16:54:09,00:00:21,audio/audio-FL/mimmi_ch_FL_0_1339.wav,audio/audio-FL/mimmi_ch_FL_0_1339.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,True,0.1339,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,6,16:53:48,16:54:13,00:00:25,audio/audio-FL/mimmi_ch_FL_0_1264.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1264,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,7,16:53:48,16:54:17,00:00:29,audio/audio-FL/mimmi_ch_FL_0_1189.wav,audio/audio-FL/mimmi_ch_FL_0_1189.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,True,0.1189,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,8,16:53:48,16:54:22,00:00:34,audio/audio-FL/mimmi_ch_FL_0_1114.wav,audio/audio-FL/mimmi_ch_FL_0_1114.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,True,0.1114,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,9,16:53:48,16:54:27,00:00:39,audio/audio-FL/mimmi_ch_FL_0_1039.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.1039,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,10,16:53:48,16:54:31,00:00:43,audio/audio-FL/mimmi_ch_FL_0_0964.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.0964,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,11,16:53:48,16:54:35,00:00:47,audio/audio-FL/mimmi_ch_FL_0_0889.wav,audio/audio-FL/mimmi_ch_FL_0_0889.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,True,0.0889,0.0036,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,12,16:53:48,16:54:39,00:00:51,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0853.wav,right,True,0.0853,0.0036,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,13,16:53:48,16:54:44,00:00:55,audio/audio-FL/mimmi_ch_FL_0_0817.wav,audio/audio-FL/mimmi_ch_FL_0_0817.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,True,0.0817,0.0036,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,14,16:53:48,16:54:48,00:01:00,audio/audio-FL/mimmi_ch_FL_0_0781.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.0781,0.0036,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,15,16:53:48,16:54:52,00:01:04,audio/audio-FL/mimmi_ch_FL_0_0745.wav,audio/audio-FL/mimmi_ch_FL_0_0745.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,True,0.0745,0.0036,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,16,16:53:48,16:54:56,00:01:08,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0709.wav,audio/audio-FL/mimmi_ch_FL_0_0709.wav,left,True,0.0709,0.0036,0,down
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,17,16:53:48,16:55:00,00:01:12,audio/audio-FL/mimmi_ch_FL_0_0673.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,False,0.0673,0.0036,0,up
jnd_experiment,subject_ID,2023-05-24 16:52,FL,trial,18,16:53:48,16:55:04,00:01:16,audio/audio-FL/mimmi_ch_FL_0_0709.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,left,True,0.0709,0.0036,1,none
