experiment,subject_ID,date,task,session_type,run,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-06-01 10:42,pause,practice,0,0,10:42:38,10:42:48,00:00:10,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_550.wav,right,True,0.55,0.025,0,down
jnd_experiment,subject_ID,2023-06-01 10:42,pause,practice,0,1,10:42:38,10:42:57,00:00:19,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,left,True,0.525,0.025,0,down
