experiment,subject_ID,date,task,session_type,run,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:58,pitch,practice,0,0,18:02:14,18:02:21,00:00:06,audio/audio-pitch/nelli_ch_rise_13_112.wav,audio/audio-pitch/nelli_ch_rise_13_112.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,right,True,13.112,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pitch,practice,0,1,18:02:14,18:02:26,00:00:11,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_12_612.wav,right,True,12.612,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pitch,practice,0,2,18:02:14,18:02:31,00:00:16,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_12_112.wav,audio/audio-pitch/nelli_ch_rise_12_112.wav,left,True,12.112,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pitch,practice,0,3,18:02:14,18:02:37,00:00:22,audio/audio-pitch/nelli_ch_rise_11_612.wav,audio/audio-pitch/nelli_ch_rise_11_612.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,right,True,11.612,0.5,0,down
