experiment,subject_ID,date,task,session_type,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,1,18:00:44,18:00:53,00:00:08,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_550.wav,audio/audio-pause/lilli_lisa_ch_pause_0_550.wav,left,True,0.55,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,2,18:00:44,18:01:01,00:00:16,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.525,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,3,18:00:44,18:01:09,00:00:24,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,left,True,0.5,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,4,18:00:44,18:01:17,00:00:32,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.475,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,5,18:00:44,18:01:25,00:00:40,audio/audio-pause/lilli_lisa_ch_pause_0_450.wav,audio/audio-pause/lilli_lisa_ch_pause_0_450.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.45,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,6,18:00:44,18:01:33,00:00:48,audio/audio-pause/lilli_lisa_ch_pause_0_425.wav,audio/audio-pause/lilli_lisa_ch_pause_0_425.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.425,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,7,18:00:44,18:01:40,00:00:55,audio/audio-pause/lilli_lisa_ch_pause_0_400.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.4,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,8,18:00:44,18:01:48,00:01:03,audio/audio-pause/lilli_lisa_ch_pause_0_375.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.375,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,9,18:00:44,18:01:56,00:01:11,audio/audio-pause/lilli_lisa_ch_pause_0_350.wav,audio/audio-pause/lilli_lisa_ch_pause_0_350.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.35,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,10,18:00:44,18:02:03,00:01:18,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_325.wav,right,True,0.325,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,trial,11,18:00:44,18:02:11,00:01:26,audio/audio-pause/lilli_lisa_ch_pause_0_300.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.3,0.015,0,down
