experiment,subject_ID,date,task,session_type,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,1,17:46:50,17:46:54,00:00:04,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,right,True,0.1639,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,2,17:46:50,17:46:58,00:00:08,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,left,True,0.1564,0.0075,0,down
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,3,17:46:50,17:47:02,00:00:12,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1489.wav,audio/audio-FL/mimmi_ch_FL_0_1489.wav,right,False,0.1489,0.0075,0,up
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,4,17:46:50,17:47:06,00:00:16,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,False,0.1564,0.0075,1,up
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,5,17:46:50,17:47:10,00:00:20,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,right,True,0.1639,0.0075,1,none
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,6,17:46:50,17:47:14,00:00:24,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_1639.wav,left,True,0.1639,0.0075,1,down
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,7,17:46:50,17:47:18,00:00:28,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,left,True,0.1564,0.0075,2,none
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,8,17:46:50,17:47:22,00:00:32,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,True,0.1564,0.0075,2,down
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,9,17:46:50,17:47:26,00:00:36,audio/audio-FL/mimmi_ch_FL_0_1489.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,False,0.1489,0.0075,2,up
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,10,17:46:50,17:47:30,00:00:40,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,audio/audio-FL/mimmi_ch_FL_0_1564.wav,right,False,0.1564,0.0075,3,up
jnd_experiment,subject_ID,2023-05-24 17:46,FL,trial,11,17:46:50,17:47:34,00:00:44,audio/audio-FL/mimmi_ch_FL_0_1639.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,audio/audio-FL/mimmi_ch_FL_0_0000.wav,right,False,0.1639,0.0075,3,none
