experiment,subject_ID,date,task,session_type,run,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:58,pause,practice,0,0,18:00:09,18:00:18,00:00:08,audio/audio-pause/lilli_lisa_ch_pause_0_550.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.55,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,practice,0,1,18:00:09,18:00:26,00:00:17,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.525,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,practice,0,2,18:00:09,18:00:35,00:00:25,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.5,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:58,pause,practice,0,3,18:00:09,18:00:43,00:00:33,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.475,0.025,0,down
