experiment,subject_ID,date,task,session_type,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,1,17:25:50,17:26:00,00:00:10,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_550.wav,audio/audio-pause/lilli_lisa_ch_pause_0_550.wav,left,True,0.55,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,2,17:25:50,17:26:08,00:00:18,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.525,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,3,17:25:50,17:26:16,00:00:26,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,left,False,0.5,0.025,0,up
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,4,17:25:50,17:26:24,00:00:34,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.525,0.025,1,none
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,5,17:25:50,17:26:32,00:00:42,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,left,True,0.525,0.025,1,down
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,6,17:25:50,17:26:40,00:00:50,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,right,True,0.5,0.025,2,none
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,7,17:25:50,17:26:47,00:00:57,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,right,True,0.5,0.025,2,down
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,8,17:25:50,17:26:56,00:01:06,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.475,0.025,2,none
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,9,17:25:50,17:27:04,00:01:14,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.475,0.025,2,down
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,10,17:25:50,17:27:11,00:01:21,audio/audio-pause/lilli_lisa_ch_pause_0_450.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.45,0.025,2,none
jnd_experiment,subject_ID,2023-05-24 17:25,pause,trial,11,17:25:50,17:27:19,00:01:29,audio/audio-pause/lilli_lisa_ch_pause_0_450.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.45,0.025,2,down
