experiment,subject_ID,date,task,session_type,run,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,practice,0,0,17:29:49,17:29:56,00:00:06,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_13_112.wav,audio/audio-pitch/nelli_ch_rise_13_112.wav,left,True,13.112,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,practice,0,1,17:29:49,17:30:02,00:00:12,audio/audio-pitch/nelli_ch_rise_12_612.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,left,True,12.612,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,practice,0,2,17:29:49,17:30:07,00:00:18,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_12_112.wav,right,True,12.112,0.5,0,down
jnd_experiment,subject_ID,2023-05-24 17:29,pitch,practice,0,3,17:29:49,17:30:13,00:00:23,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_0_000.wav,audio/audio-pitch/nelli_ch_rise_11_612.wav,right,True,11.612,0.5,0,down
