stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
75	mimmi_ch	mimmi_ch_FL_0_075	0.225	0.061	18.704	0.403	0.136	0.089	0.488	0.324	0.399	45.995	33.96	12.035	0.075
76	mimmi_ch	mimmi_ch_FL_0_076	0.225	0.061	18.704	0.406	0.137	0.088	0.488	0.324	0.4	45.995	34.123	11.872	0.076
77	mimmi_ch	mimmi_ch_FL_0_077	0.225	0.061	18.704	0.408	0.138	0.087	0.488	0.324	0.401	45.995	34.286	11.709	0.077
78	mimmi_ch	mimmi_ch_FL_0_078	0.225	0.061	18.704	0.411	0.139	0.086	0.488	0.324	0.402	45.995	34.448	11.547	0.078
79	mimmi_ch	mimmi_ch_FL_0_079	0.225	0.061	18.704	0.414	0.14	0.085	0.488	0.324	0.403	45.995	34.609	11.386	0.079
80	mimmi_ch	mimmi_ch_FL_0_080	0.225	0.061	18.704	0.417	0.141	0.084	0.488	0.324	0.404	45.995	34.769	11.226	0.08
81	mimmi_ch	mimmi_ch_FL_0_081	0.225	0.061	18.704	0.42	0.142	0.083	0.488	0.324	0.405	45.995	34.928	11.067	0.081
82	mimmi_ch	mimmi_ch_FL_0_082	0.225	0.061	18.704	0.423	0.143	0.082	0.488	0.324	0.406	45.995	35.087	10.908	0.082
83	mimmi_ch	mimmi_ch_FL_0_083	0.225	0.061	18.704	0.426	0.143	0.081	0.488	0.324	0.407	45.995	35.245	10.75	0.083
84	mimmi_ch	mimmi_ch_FL_0_084	0.225	0.061	18.704	0.429	0.144	0.08	0.488	0.324	0.408	45.995	35.402	10.593	0.084
85	mimmi_ch	mimmi_ch_FL_0_085	0.225	0.061	18.704	0.432	0.145	0.079	0.488	0.324	0.409	45.995	35.558	10.437	0.085
86	mimmi_ch	mimmi_ch_FL_0_086	0.225	0.061	18.704	0.435	0.146	0.078	0.488	0.324	0.41	45.995	35.714	10.281	0.086
87	mimmi_ch	mimmi_ch_FL_0_087	0.225	0.061	18.704	0.438	0.147	0.077	0.488	0.324	0.411	45.995	35.869	10.126	0.087
88	mimmi_ch	mimmi_ch_FL_0_088	0.225	0.061	18.704	0.441	0.148	0.076	0.488	0.324	0.412	45.995	36.023	9.972	0.088
89	mimmi_ch	mimmi_ch_FL_0_089	0.225	0.061	18.704	0.444	0.149	0.075	0.488	0.324	0.413	45.995	36.176	9.819	0.089
90	mimmi_ch	mimmi_ch_FL_0_090	0.225	0.061	18.704	0.448	0.15	0.074	0.488	0.324	0.414	45.995	36.329	9.666	0.09
