stepID	filename	nameNew	riseOrig	l2Orig	h2Orig	riseNew	h2New	diffRise
61	nelli_ch	nelli_ch_rise_11_89	13.1123	161.3699	344.1556	11.8923	320.7378	1.22
62	nelli_ch	nelli_ch_rise_11_87	13.1123	161.3699	344.1556	11.8723	320.3675	1.24
63	nelli_ch	nelli_ch_rise_11_85	13.1123	161.3699	344.1556	11.8523	319.9976	1.26
64	nelli_ch	nelli_ch_rise_11_83	13.1123	161.3699	344.1556	11.8323	319.6281	1.28
65	nelli_ch	nelli_ch_rise_11_81	13.1123	161.3699	344.1556	11.8123	319.2591	1.3
66	nelli_ch	nelli_ch_rise_11_79	13.1123	161.3699	344.1556	11.7923	318.8905	1.32
67	nelli_ch	nelli_ch_rise_11_77	13.1123	161.3699	344.1556	11.7723	318.5223	1.34
68	nelli_ch	nelli_ch_rise_11_75	13.1123	161.3699	344.1556	11.7523	318.1545	1.36
69	nelli_ch	nelli_ch_rise_11_73	13.1123	161.3699	344.1556	11.7323	317.7872	1.38
70	nelli_ch	nelli_ch_rise_11_71	13.1123	161.3699	344.1556	11.7123	317.4203	1.4
71	nelli_ch	nelli_ch_rise_11_69	13.1123	161.3699	344.1556	11.6923	317.0538	1.42
72	nelli_ch	nelli_ch_rise_11_67	13.1123	161.3699	344.1556	11.6723	316.6878	1.44
73	nelli_ch	nelli_ch_rise_11_65	13.1123	161.3699	344.1556	11.6523	316.3221	1.46
74	nelli_ch	nelli_ch_rise_11_63	13.1123	161.3699	344.1556	11.6323	315.9569	1.48
75	nelli_ch	nelli_ch_rise_11_61	13.1123	161.3699	344.1556	11.6123	315.5921	1.5
76	nelli_ch	nelli_ch_rise_11_59	13.1123	161.3699	344.1556	11.5923	315.2277	1.52
77	nelli_ch	nelli_ch_rise_11_57	13.1123	161.3699	344.1556	11.5723	314.8638	1.54
78	nelli_ch	nelli_ch_rise_11_55	13.1123	161.3699	344.1556	11.5523	314.5002	1.56
79	nelli_ch	nelli_ch_rise_11_53	13.1123	161.3699	344.1556	11.5323	314.1371	1.58
80	nelli_ch	nelli_ch_rise_11_51	13.1123	161.3699	344.1556	11.5123	313.7744	1.6
81	nelli_ch	nelli_ch_rise_11_49	13.1123	161.3699	344.1556	11.4923	313.4121	1.62
82	nelli_ch	nelli_ch_rise_11_47	13.1123	161.3699	344.1556	11.4723	313.0503	1.64
83	nelli_ch	nelli_ch_rise_11_45	13.1123	161.3699	344.1556	11.4523	312.6888	1.66
84	nelli_ch	nelli_ch_rise_11_43	13.1123	161.3699	344.1556	11.4323	312.3278	1.68
85	nelli_ch	nelli_ch_rise_11_41	13.1123	161.3699	344.1556	11.4123	311.9672	1.7
86	nelli_ch	nelli_ch_rise_11_39	13.1123	161.3699	344.1556	11.3923	311.607	1.72
87	nelli_ch	nelli_ch_rise_11_37	13.1123	161.3699	344.1556	11.3723	311.2472	1.74
88	nelli_ch	nelli_ch_rise_11_35	13.1123	161.3699	344.1556	11.3523	310.8879	1.76
89	nelli_ch	nelli_ch_rise_11_33	13.1123	161.3699	344.1556	11.3323	310.5289	1.78
90	nelli_ch	nelli_ch_rise_11_31	13.1123	161.3699	344.1556	11.3123	310.1704	1.8
91	nelli_ch	nelli_ch_rise_11_29	13.1123	161.3699	344.1556	11.2923	309.8123	1.82
92	nelli_ch	nelli_ch_rise_11_27	13.1123	161.3699	344.1556	11.2723	309.4546	1.84
93	nelli_ch	nelli_ch_rise_11_25	13.1123	161.3699	344.1556	11.2523	309.0973	1.86
94	nelli_ch	nelli_ch_rise_11_23	13.1123	161.3699	344.1556	11.2323	308.7404	1.88
95	nelli_ch	nelli_ch_rise_11_21	13.1123	161.3699	344.1556	11.2123	308.384	1.9
96	nelli_ch	nelli_ch_rise_11_19	13.1123	161.3699	344.1556	11.1923	308.0279	1.92
97	nelli_ch	nelli_ch_rise_11_17	13.1123	161.3699	344.1556	11.1723	307.6723	1.94
98	nelli_ch	nelli_ch_rise_11_15	13.1123	161.3699	344.1556	11.1523	307.317	1.96
