stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	diffp3	uttDurOrig	uttDurMin	uttDurNew
47	lilli_lisa_ch	lilli_lisa_ch_pause_0.235	0.55	0.005	0.0156	0.235	0.315	1.7782	1.2282	1.4632
48	lilli_lisa_ch	lilli_lisa_ch_pause_0.240	0.55	0.005	0.0159	0.24	0.31	1.7782	1.2282	1.4682
49	lilli_lisa_ch	lilli_lisa_ch_pause_0.245	0.55	0.005	0.0161	0.245	0.305	1.7782	1.2282	1.4732
50	lilli_lisa_ch	lilli_lisa_ch_pause_0.250	0.55	0.005	0.0164	0.25	0.3	1.7782	1.2282	1.4782
51	lilli_lisa_ch	lilli_lisa_ch_pause_0.255	0.55	0.005	0.0167	0.255	0.295	1.7782	1.2282	1.4832
52	lilli_lisa_ch	lilli_lisa_ch_pause_0.260	0.55	0.005	0.0169	0.26	0.29	1.7782	1.2282	1.4882
53	lilli_lisa_ch	lilli_lisa_ch_pause_0.265	0.55	0.005	0.0172	0.265	0.285	1.7782	1.2282	1.4932
54	lilli_lisa_ch	lilli_lisa_ch_pause_0.270	0.55	0.005	0.0175	0.27	0.28	1.7782	1.2282	1.4982
55	lilli_lisa_ch	lilli_lisa_ch_pause_0.275	0.55	0.005	0.0179	0.275	0.275	1.7782	1.2282	1.5032
56	lilli_lisa_ch	lilli_lisa_ch_pause_0.280	0.55	0.005	0.0182	0.28	0.27	1.7782	1.2282	1.5082
57	lilli_lisa_ch	lilli_lisa_ch_pause_0.285	0.55	0.005	0.0185	0.285	0.265	1.7782	1.2282	1.5132
58	lilli_lisa_ch	lilli_lisa_ch_pause_0.290	0.55	0.005	0.0189	0.29	0.26	1.7782	1.2282	1.5182
59	lilli_lisa_ch	lilli_lisa_ch_pause_0.295	0.55	0.005	0.0192	0.295	0.255	1.7782	1.2282	1.5232
60	lilli_lisa_ch	lilli_lisa_ch_pause_0.300	0.55	0.005	0.0196	0.3	0.25	1.7782	1.2282	1.5282
61	lilli_lisa_ch	lilli_lisa_ch_pause_0.305	0.55	0.005	0.02	0.305	0.245	1.7782	1.2282	1.5332
62	lilli_lisa_ch	lilli_lisa_ch_pause_0.310	0.55	0.005	0.0204	0.31	0.24	1.7782	1.2282	1.5382
63	lilli_lisa_ch	lilli_lisa_ch_pause_0.315	0.55	0.005	0.0208	0.315	0.235	1.7782	1.2282	1.5432
64	lilli_lisa_ch	lilli_lisa_ch_pause_0.320	0.55	0.005	0.0213	0.32	0.23	1.7782	1.2282	1.5482
65	lilli_lisa_ch	lilli_lisa_ch_pause_0.325	0.55	0.005	0.0217	0.325	0.225	1.7782	1.2282	1.5532
66	lilli_lisa_ch	lilli_lisa_ch_pause_0.330	0.55	0.005	0.0222	0.33	0.22	1.7782	1.2282	1.5582
67	lilli_lisa_ch	lilli_lisa_ch_pause_0.335	0.55	0.005	0.0227	0.335	0.215	1.7782	1.2282	1.5632
68	lilli_lisa_ch	lilli_lisa_ch_pause_0.340	0.55	0.005	0.0233	0.34	0.21	1.7782	1.2282	1.5682
69	lilli_lisa_ch	lilli_lisa_ch_pause_0.345	0.55	0.005	0.0238	0.345	0.205	1.7782	1.2282	1.5732
70	lilli_lisa_ch	lilli_lisa_ch_pause_0.350	0.55	0.005	0.0244	0.35	0.2	1.7782	1.2282	1.5782
71	lilli_lisa_ch	lilli_lisa_ch_pause_0.355	0.55	0.005	0.025	0.355	0.195	1.7782	1.2282	1.5832
72	lilli_lisa_ch	lilli_lisa_ch_pause_0.360	0.55	0.005	0.0256	0.36	0.19	1.7782	1.2282	1.5882
73	lilli_lisa_ch	lilli_lisa_ch_pause_0.365	0.55	0.005	0.0263	0.365	0.185	1.7782	1.2282	1.5932
74	lilli_lisa_ch	lilli_lisa_ch_pause_0.370	0.55	0.005	0.027	0.37	0.18	1.7782	1.2282	1.5982
75	lilli_lisa_ch	lilli_lisa_ch_pause_0.375	0.55	0.005	0.0278	0.375	0.175	1.7782	1.2282	1.6032
76	lilli_lisa_ch	lilli_lisa_ch_pause_0.380	0.55	0.005	0.0286	0.38	0.17	1.7782	1.2282	1.6082
77	lilli_lisa_ch	lilli_lisa_ch_pause_0.385	0.55	0.005	0.0294	0.385	0.165	1.7782	1.2282	1.6132
78	lilli_lisa_ch	lilli_lisa_ch_pause_0.390	0.55	0.005	0.0303	0.39	0.16	1.7782	1.2282	1.6182
79	lilli_lisa_ch	lilli_lisa_ch_pause_0.395	0.55	0.005	0.0312	0.395	0.155	1.7782	1.2282	1.6232
80	lilli_lisa_ch	lilli_lisa_ch_pause_0.400	0.55	0.005	0.0323	0.4	0.15	1.7782	1.2282	1.6282
