stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
83	mimmi_03	mimmi_03_FL_0_083	0.247	0.048	19.379	0.292	0.131	0.116	0.448	0.249	0.332	55.164	39.553	15.611	0.083
84	mimmi_03	mimmi_03_FL_0_084	0.247	0.048	19.379	0.294	0.132	0.115	0.448	0.249	0.333	55.164	39.732	15.432	0.084
85	mimmi_03	mimmi_03_FL_0_085	0.247	0.048	19.379	0.296	0.133	0.114	0.448	0.249	0.334	55.164	39.911	15.253	0.085
86	mimmi_03	mimmi_03_FL_0_086	0.247	0.048	19.379	0.298	0.134	0.113	0.448	0.249	0.335	55.164	40.088	15.076	0.086
87	mimmi_03	mimmi_03_FL_0_087	0.247	0.048	19.379	0.3	0.135	0.112	0.448	0.249	0.336	55.164	40.264	14.9	0.087
88	mimmi_03	mimmi_03_FL_0_088	0.247	0.048	19.379	0.301	0.136	0.111	0.448	0.249	0.337	55.164	40.44	14.724	0.088
89	mimmi_03	mimmi_03_FL_0_089	0.247	0.048	19.379	0.303	0.137	0.11	0.448	0.249	0.338	55.164	40.614	14.55	0.089
90	mimmi_03	mimmi_03_FL_0_090	0.247	0.048	19.379	0.305	0.138	0.109	0.448	0.249	0.339	55.164	40.787	14.377	0.09
91	mimmi_03	mimmi_03_FL_0_091	0.247	0.048	19.379	0.307	0.139	0.108	0.448	0.249	0.34	55.164	40.959	14.205	0.091
92	mimmi_03	mimmi_03_FL_0_092	0.247	0.048	19.379	0.309	0.14	0.107	0.448	0.249	0.341	55.164	41.131	14.033	0.092
93	mimmi_03	mimmi_03_FL_0_093	0.247	0.048	19.379	0.311	0.141	0.106	0.448	0.249	0.342	55.164	41.301	13.863	0.093
94	mimmi_03	mimmi_03_FL_0_094	0.247	0.048	19.379	0.313	0.142	0.105	0.448	0.249	0.343	55.164	41.47	13.694	0.094
95	mimmi_03	mimmi_03_FL_0_095	0.247	0.048	19.379	0.315	0.143	0.104	0.448	0.249	0.344	55.164	41.638	13.526	0.095
96	mimmi_03	mimmi_03_FL_0_096	0.247	0.048	19.379	0.317	0.144	0.103	0.448	0.249	0.345	55.164	41.806	13.358	0.096
97	mimmi_03	mimmi_03_FL_0_097	0.247	0.048	19.379	0.319	0.145	0.102	0.448	0.249	0.346	55.164	41.972	13.192	0.097
98	mimmi_03	mimmi_03_FL_0_098	0.247	0.048	19.379	0.322	0.146	0.101	0.448	0.249	0.347	55.164	42.138	13.026	0.098
99	mimmi_03	mimmi_03_FL_0_099	0.247	0.048	19.379	0.324	0.147	0.1	0.448	0.249	0.348	55.164	42.302	12.862	0.099
100	mimmi_03	mimmi_03_FL_0_100	0.247	0.048	19.379	0.326	0.148	0.099	0.448	0.249	0.349	55.164	42.466	12.698	0.1
101	mimmi_03	mimmi_03_FL_0_101	0.247	0.048	19.379	0.328	0.149	0.098	0.448	0.249	0.35	55.164	42.628	12.536	0.101
102	mimmi_03	mimmi_03_FL_0_102	0.247	0.048	19.379	0.33	0.15	0.097	0.448	0.249	0.351	55.164	42.79	12.374	0.102
103	mimmi_03	mimmi_03_FL_0_103	0.247	0.048	19.379	0.333	0.151	0.096	0.448	0.249	0.352	55.164	42.951	12.213	0.103
104	mimmi_03	mimmi_03_FL_0_104	0.247	0.048	19.379	0.335	0.152	0.095	0.448	0.249	0.353	55.164	43.111	12.053	0.104
105	mimmi_03	mimmi_03_FL_0_105	0.247	0.048	19.379	0.337	0.153	0.094	0.448	0.249	0.354	55.164	43.27	11.894	0.105
106	mimmi_03	mimmi_03_FL_0_106	0.247	0.048	19.379	0.34	0.154	0.093	0.448	0.249	0.355	55.164	43.428	11.736	0.106
107	mimmi_03	mimmi_03_FL_0_107	0.247	0.048	19.379	0.342	0.155	0.092	0.448	0.249	0.356	55.164	43.585	11.579	0.107
108	mimmi_03	mimmi_03_FL_0_108	0.247	0.048	19.379	0.344	0.156	0.091	0.448	0.249	0.357	55.164	43.741	11.423	0.108
