stepID	filename	nameNew	riseOrig	l2Orig	h2Orig	riseNew	h2New	diffRise	n2
131	nelli_ch	nelli_ch_rise_7_6	13.1123	161.3699	344.1556	7.6123	250.4856	5.5	0.4519
131	nelli_ch	nelli_ch_rise_7_5	13.1123	161.3699	344.1556	7.5123	249.0429	5.6	0.4519
131	nelli_ch	nelli_ch_rise_7_4	13.1123	161.3699	344.1556	7.4123	247.6085	5.7	0.4519
131	nelli_ch	nelli_ch_rise_7_3	13.1123	161.3699	344.1556	7.3123	246.1824	5.8	0.4519
131	nelli_ch	nelli_ch_rise_7_2	13.1123	161.3699	344.1556	7.2123	244.7645	5.9	0.4519
131	nelli_ch	nelli_ch_rise_7_1	13.1123	161.3699	344.1556	7.1123	243.3548	6	0.4519
131	nelli_ch	nelli_ch_rise_7_0	13.1123	161.3699	344.1556	7.0123	241.9532	6.1	0.4519
131	nelli_ch	nelli_ch_rise_6_9	13.1123	161.3699	344.1556	6.9123	240.5596	6.2	0.4519
131	nelli_ch	nelli_ch_rise_6_8	13.1123	161.3699	344.1556	6.8123	239.1741	6.3	0.4519
131	nelli_ch	nelli_ch_rise_6_7	13.1123	161.3699	344.1556	6.7123	237.7965	6.4	0.4519
131	nelli_ch	nelli_ch_rise_6_6	13.1123	161.3699	344.1556	6.6123	236.4269	6.5	0.4519
131	nelli_ch	nelli_ch_rise_6_5	13.1123	161.3699	344.1556	6.5123	235.0652	6.6	0.4519
131	nelli_ch	nelli_ch_rise_6_4	13.1123	161.3699	344.1556	6.4123	233.7113	6.7	0.4519
131	nelli_ch	nelli_ch_rise_6_3	13.1123	161.3699	344.1556	6.3123	232.3653	6.8	0.4519
131	nelli_ch	nelli_ch_rise_6_2	13.1123	161.3699	344.1556	6.2123	231.0269	6.9	0.4519
131	nelli_ch	nelli_ch_rise_6_1	13.1123	161.3699	344.1556	6.1123	229.6963	7	0.4519
131	nelli_ch	nelli_ch_rise_6_0	13.1123	161.3699	344.1556	6.0123	228.3734	7.1	0.4519
131	nelli_ch	nelli_ch_rise_5_9	13.1123	161.3699	344.1556	5.9123	227.058	7.2	0.4519
131	nelli_ch	nelli_ch_rise_5_8	13.1123	161.3699	344.1556	5.8123	225.7503	7.3	0.4519
131	nelli_ch	nelli_ch_rise_5_7	13.1123	161.3699	344.1556	5.7123	224.4501	7.4	0.4519
131	nelli_ch	nelli_ch_rise_5_6	13.1123	161.3699	344.1556	5.6123	223.1573	7.5	0.4519
131	nelli_ch	nelli_ch_rise_5_5	13.1123	161.3699	344.1556	5.5123	221.872	7.6	0.4519
131	nelli_ch	nelli_ch_rise_5_4	13.1123	161.3699	344.1556	5.4123	220.5941	7.7	0.4519
131	nelli_ch	nelli_ch_rise_5_3	13.1123	161.3699	344.1556	5.3123	219.3236	7.8	0.4519
131	nelli_ch	nelli_ch_rise_5_2	13.1123	161.3699	344.1556	5.2123	218.0604	7.9	0.4519
131	nelli_ch	nelli_ch_rise_5_1	13.1123	161.3699	344.1556	5.1123	216.8045	8	0.4519
131	nelli_ch	nelli_ch_rise_5_0	13.1123	161.3699	344.1556	5.0123	215.5558	8.1	0.4519
131	nelli_ch	nelli_ch_rise_4_9	13.1123	161.3699	344.1556	4.9123	214.3142	8.2	0.4519
131	nelli_ch	nelli_ch_rise_4_8	13.1123	161.3699	344.1556	4.8123	213.0799	8.3	0.4519
131	nelli_ch	nelli_ch_rise_4_7	13.1123	161.3699	344.1556	4.7123	211.8526	8.4	0.4519
131	nelli_ch	nelli_ch_rise_4_6	13.1123	161.3699	344.1556	4.6123	210.6325	8.5	0.4519
