filename	participantID	context	block	trial	condition	L1	L1t	H1	H1t	rise1	f0n1	slopen1	L2	L2t	H2	H2t	rise2	f0n2	slopen2	s1dur	s1reln1	s2dur	s2reln1	s3dur	s3reln1	s4dur	s4reln1	s4glott	syll1reln1	syll2reln1	s5dur	s5reln2	s6dur	s6reln2	s7dur	s7reln2	s8dur	s8reln2	s8glott	syll1reln2	syll2reln2	s9dur	s10dur	s11dur	s12dur	p1dur	n1p1dur	p2dur	p3dur	p3relutt	n2p3dur	p4dur	c1dur	c2dur	cons1dur	cons2dur	cons1u2	utt_dur(ms)	hes	comments
11_C01_b1_t07_mimmi_nob	11	C01	b1	t07	nob	229.88	0.36	335.38	0.63	6.54	rise	24.263	229.35	0.93	273.75	1.17	3.06	rise	12.844	75.01	19.299	118.77	30.557	67.06	17.253	127.84	32.891	?	49.856	50.144	101.93	25.954	64.46	16.415	88.52	22.541	137.8	35.09	?	42.369	57.631	71.9	142.84	69.34	144.07	?	388.684	?	?	0	392.714	?	126.9	176.43	908.3	604.59	1512.89	1512.89	?	NA
11_C01_b1_t08_lilli_nob	11	C01	b1	t08	nob	225.19	0.35	304.59	0.66	5.23	rise	17.061	216.75	0.98	279.91	1.3	4.43	rise	13.875	96.87	23.446	99.62	24.11	64.16	15.529	152.53	36.915	?	47.556	52.444	34.52	8.524	86.64	21.394	75.5	18.643	208.32	51.439	?	29.918	70.082	62.09	152.06	58.45	151.6	?	413.184	?	?	0	404.985	?	248.14	229.22	1066.3	653.42	1719.72	1719.72	?	NA
11_C01_b1_t09_nelli_bra	11	C01	b1	t09	bra	246.46	0.57	250.77	0.4	0.3	fall	-1.773	218.12	0.89	379.55	1.1	9.59	rise	45.849	54.23	18.877	74.54	25.944	59.38	20.668	99.15	34.511	?	44.821	55.179	95.97	20.825	124.21	26.954	36.94	8.017	203.7	44.204	?	47.779	52.221	52.52	108.01	55.61	179.78	?	287.291	?	455.2	23.981	916.025	?	98.04	200.95	846.15	596.86	1443.02	1898.22	?	NA
11_C01_b1_t10_manni_nob	11	C01	b1	t10	nob	247.92	0.39	366.04	0.64	6.75	rise	26.852	213.78	1	316.15	1.38	6.77	rise	18.127	46.21	11.189	94.05	22.77	66.85	16.185	205.93	49.856	?	33.958	66.042	94.4	20.441	106.49	23.058	62.96	13.632	197.98	42.868	?	43.499	56.501	66.11	104.71	42.72	185.73	144.37	557.415	?	170.04	8.96	631.868	?	125.03	184.19	1144.27	583.46	1727.73	1897.78	?	NA
11_C01_b1_t11_mimmi_bra	11	C01	b1	t11	bra	244.14	0.58	245.21	0.42	0.08	fall	-0.462	221.66	0.84	374.83	1.14	9.09	rise	30.674	58.39	19.206	94.75	31.164	52.75	17.351	98.14	32.279	?	50.37	49.63	82.44	18.388	80.11	17.868	71.85	16.026	213.94	47.717	?	36.256	63.744	84.12	127.67	61.76	137.05	?	304.035	?	376.87	20.383	825.21	?	139.78	169.32	892.15	579.93	1472.08	1848.95	?	NA
11_C01_b1_t12_moni_bra	11	C01	b1	t12	bra	228.16	0.39	249.11	0.56	1.52	rise	8.736	219.09	0.83	365.73	1.12	8.87	rise	30.958	59.3	18.814	96.24	30.534	60.17	19.091	99.48	31.562	?	49.348	50.652	117.69	27.479	86.42	20.177	56.31	13.147	167.89	39.198	?	47.656	52.344	53.6	98.71	63.04	166.22	?	315.205	?	275.98	16.024	704.291	?	123.98	197.27	867.49	578.84	1446.34	1722.31	?	NA
13_C01_b1_t01_mimmi_nob	13	C01	b1	t01	nob	206.58	0.44	272.67	0.73	4.81	rise	16.551	203.88	1	246.33	1.29	3.27	rise	11.32	120.46	26.338	146.41	32.012	74.1	16.2	116.4	25.45	?	58.35	41.65	109.38	29.238	79.97	21.375	75.92	20.293	108.85	29.094	?	50.613	49.387	68.36	186.78	58.61	229.94	?	457.373	?	?	0	374.115	?	167.84	229.23	999.33	772.92	1772.25	1772.25	?	NA
13_C01_b1_t02_lilli_nob	13	C01	b1	t02	nob	198.06	0.36	262.1	0.66	4.85	rise	16.122	203.32	0.97	235.81	1.21	2.57	rise	10.298	50.97	12.757	166.07	41.565	62.96	15.758	119.55	29.92	?	54.321	45.679	21.65	7.189	86.37	28.673	87.27	28.97	105.94	35.169	?	35.861	64.139	96.87	146.75	62.22	202.53	?	399.548	?	?	0	301.23	?	229.25	184.63	930.03	693	1623.03	1623.03	?	NA
13_C01_b1_t03_nelli_bra	13	C01	b1	t03	bra	210.22	0.36	220.49	0.54	0.83	rise	4.654	188.37	1.74	313.58	2.11	8.82	rise	23.781	87.6	24.344	62.4	17.342	81.19	22.564	128.64	35.75	?	41.686	58.314	136.5	23.84	101.02	17.645	75.16	13.127	259.87	45.388	?	41.485	58.515	38.5	133.94	50.34	220.87	?	359.822	?	131.66	6.713	704.204	?	221.63	231.96	1153.99	675.62	1829.61	1961.27	1	 hes
13_C01_b1_t04_manni_nob	13	C01	b1	t04	nob	206.98	0.38	258.74	0.67	3.86	rise	13.543	187.08	1.03	220.08	1.27	2.81	rise	12.068	91.18	22.486	91.13	22.472	71.94	17.741	151.26	37.3	?	44.958	55.042	116.12	27.464	90.58	21.425	93.33	22.075	122.76	29.036	?	48.889	51.111	72.79	98.88	63.35	235.88	?	405.509	?	?	0	422.794	?	196.15	258.64	1024.46	729.53	1753.98	1753.98	?	NA
13_C01_b1_t05_mimmi_bra	13	C01	b1	t05	bra	208.8	0.35	215.98	0.54	0.59	rise	2.973	189.04	1.04	290.57	1.44	7.44	rise	18.639	128.94	29.36	145.14	33.049	83.71	19.062	81.37	18.529	?	62.409	37.591	127.95	24.425	77	14.699	103.42	19.741	215.49	41.135	?	39.124	60.876	84.46	158.36	61.63	213.8	?	439.156	?	445.44	19.204	969.3	?	211.82	181.01	1174.84	699.26	1874.09	2319.53	?	NA
13_C01_b1_t06_moni_bra	13	C01	b1	t06	bra	193.57	0.38	206.74	0.52	1.14	rise	8.131	177.95	1.06	253.69	1.39	6.14	rise	18.201	108.3	26.249	118.55	28.734	71.25	17.269	114.48	27.747	?	54.983	45.017	76.92	15.519	159.12	32.103	59.69	12.043	199.93	40.336	?	47.621	52.379	48.56	149.4	53.38	260.58	?	412.583	?	279.54	12.651	775.207	?	270.7	239.23	1178.95	751.15	1930.1	2209.64	?	NA
13_C01_b1_t07_leni_nob	13	C01	b1	t07	nob	182.13	0.45	248.14	0.73	5.35	rise	19.283	188.67	1.15	216.19	1.44	2.36	rise	7.94	127.07	25.048	111.18	21.917	93.66	18.463	175.38	34.572	?	46.966	53.034	60.33	13.812	149.75	34.287	91.2	20.881	135.48	31.02	?	48.099	51.901	40.62	96.53	50.93	255.76	?	507.28	?	?	0	436.749	?	234.67	250.45	1178.7	694.3	1872.99	1872.99	?	NA
13_C01_b1_t08_lilli_bra	13	C01	b1	t08	bra	191.91	0.35	211.38	0.54	1.67	rise	8.707	191	1.02	308.94	1.39	8.32	rise	22.473	79.23	18.22	171.83	39.516	64.75	14.89	119.03	27.374	?	57.736	42.264	64.15	14.038	91.32	19.984	74.06	16.208	227.43	49.771	?	34.022	65.978	96.23	165.09	68.65	187.16	?	434.834	?	390.36	17.86	847.317	?	241.96	144.48	1133.75	661.6	1795.35	2185.71	?	NA
13_C01_b1_t09_nelli_nob	13	C01	b1	t09	nob	202.94	0.38	256.03	0.6	4.02	rise	18.375	194.18	1.06	225.74	1.31	2.61	rise	10.615	97.71	22.823	73.43	17.152	104.29	24.36	152.69	35.666	?	39.974	60.026	59.61	16.775	102.59	28.871	75.89	21.357	117.25	32.997	?	45.646	54.354	88.53	123.99	62.71	220.32	?	428.126	?	?	0	355.345	?	228.59	198.2	1012.06	693.74	1705.8	1705.8	?	NA
13_C01_b1_t10_leni_bra	13	C01	b1	t10	bra	185.64	0.43	206.35	0.67	1.83	rise	7.495	179.56	1.06	281.21	1.41	7.77	rise	21.913	157.55	34.953	101.66	22.553	77.55	17.204	114	25.29	?	57.506	42.494	109.53	19.291	144.33	25.42	66.38	11.691	247.55	43.599	?	44.71	55.29	51.86	113.08	65.17	215.73	?	450.755	?	203.2	10.188	770.997	?	167.89	159.12	1186.44	604.96	1791.4	1994.6	?	NA
13_C01_b1_t11_moni_nob	13	C01	b1	t11	nob	196.54	0.41	257.59	0.73	4.68	rise	14.671	184.92	1.09	224.81	1.37	3.38	rise	12.031	162.82	35.928	81.84	18.059	73.95	16.317	134.59	29.697	?	53.986	46.014	106.03	22.418	142.11	30.046	64.68	13.674	160.16	33.861	?	52.464	47.536	78.72	129.81	47.14	216.16	?	453.197	?	?	0	472.975	?	194.77	185.86	1120.94	657.69	1778.63	1778.63	?	NA
13_C01_b1_t12_manni_bra	13	C01	b1	t12	bra	202.54	0.49	214.26	0.41	0.97	fall	-13.063	180.22	1	309.5	1.34	9.36	rise	28.083	69.24	19.804	70.66	20.209	85.64	24.495	124.09	35.492	?	40.014	59.986	69.46	14.617	88.34	18.591	83.66	17.605	233.74	49.187	?	33.208	66.792	74.76	106.26	61.36	216.36	?	349.625	?	107.31	5.939	582.506	?	256.33	159.64	1081.15	618.37	1699.52	1806.83	?	NA
14_C01_b1_t01_manni_bra	14	C01	b1	t01	bra	218.66	0.35	294.73	0.56	5.17	rise	24.557	171.57	0.97	327.99	1.24	11.22	rise	41.437	56.77	17.848	80.62	25.346	51.14	16.076	129.56	40.73	?	43.194	56.806	63.47	15.066	97.38	23.116	84.78	20.124	175.64	41.693	?	38.183	61.817	57.24	141.76	62.62	190.95	?	318.087	?	449.89	20.864	871.154	?	231.29	283.16	970.65	735.73	1706.38	2156.27	?	NA
14_C01_b1_t02_moni_nob	14	C01	b1	t02	nob	212.43	0.35	279.04	0.53	4.72	rise	26.245	197.5	0.9	230.48	1.15	2.67	rise	10.854	38.88	12.868	96.3	31.871	65.62	21.719	101.35	33.542	?	44.739	55.261	68.53	20.595	125.86	37.821	57.14	17.172	81.23	24.412	?	58.417	41.583	48.79	150.31	52.46	168.56	?	302.153	?	?	0	332.765	?	225.45	219.49	860.37	639.61	1499.98	1499.98	?	NA
14_C01_b1_t03_leni_bra	14	C01	b1	t03	bra	214.9	0.36	275.68	0.54	4.31	rise	23.482	174.04	0.97	358.3	1.21	12.5	rise	51.311	64.81	19.487	88.97	26.751	63.97	19.232	114.84	34.53	?	46.238	53.762	62.62	15.531	124.35	30.842	66.53	16.502	149.68	37.125	?	46.373	53.627	66.2	132.81	70.89	198.19	?	332.593	?	479.62	22.433	882.802	?	210.08	244.46	945.85	712.55	1658.4	2138.03	?	NA
14_C01_b1_t04_nelli_nob	14	C01	b1	t04	nob	229.83	0.34	297.66	0.53	4.48	rise	23.164	181.74	0.91	211.51	1.13	2.63	rise	12.434	58.72	18.429	73.81	23.166	86.34	27.097	99.76	31.309	?	41.595	58.405	45.79	15.615	96.16	32.792	66.35	22.626	84.94	28.968	?	48.407	51.593	36.36	151.88	57.64	173.85	?	318.635	?	?	0	293.236	?	221.14	242.03	833.01	661.75	1494.76	1494.76	?	NA
14_C01_b1_t05_lilli_bra	14	C01	b1	t05	bra	174.37	0.62	210.37	0.33	3.25	fall	-11.27	181.71	0.92	328.84	1.13	10.27	rise	49.333	63.68	19.229	118.94	35.914	71.3	21.528	77.26	23.329	?	55.143	44.857	17.16	5.444	55.56	17.623	93.19	29.559	149.35	47.374	?	23.067	76.933	69.8	168.43	75.39	148.66	?	331.178	?	426.02	21.981	741.276	?	206.46	196.94	852.89	659.23	1512.12	1938.14	?	NA
14_C01_b1_t06_leni_nob	14	C01	b1	t06	nob	217.02	0.34	285.92	0.53	4.77	rise	24.863	186.72	0.85	239.24	1.11	4.29	rise	16.531	46.5	15.324	89.81	29.599	57.93	19.092	109.19	35.985	?	44.923	55.077	47.55	14.455	126.91	38.581	59.48	18.081	95.01	28.883	?	53.036	46.964	56.06	117.55	79.29	172.28	?	303.439	?	?	0	328.955	?	195.76	208.09	828.15	633.27	1461.42	1461.42	?	NA
14_C01_b1_t07_moni_bra	14	C01	b1	t07	bra	217.33	0.42	250.06	0.53	2.43	rise	22.643	171.71	0.94	324.24	1.2	11.01	rise	41.337	50.58	16.337	86.66	27.993	69	22.286	103.35	33.384	?	44.33	55.67	83.73	19.635	128.53	30.141	62.59	14.677	151.59	35.547	?	49.776	50.224	66.26	157.15	72.64	174	?	309.584	?	365.74	18.38	792.177	?	197.14	220.89	933.16	690.93	1624.09	1989.83	?	NA
14_C01_b1_t08_mimmi_bra	14	C01	b1	t08	bra	215.38	0.38	265.79	0.58	3.64	rise	18.404	182.22	0.95	319.34	1.19	9.71	rise	38.966	68.78	19.324	138.97	39.043	49.07	13.787	99.11	27.846	?	58.367	41.633	92.78	23.477	62.09	15.711	86.18	21.808	154.14	39.004	?	39.188	60.812	59.83	193.45	85.94	161.03	?	355.927	?	408.71	20.111	803.898	?	168.21	204.04	919.32	704.29	1623.62	2032.33	?	NA
14_C01_b1_t09_manni_nob	14	C01	b1	t09	nob	248.8	0.36	294.78	0.51	2.94	rise	19.224	177.24	0.91	236.7	1.11	5.01	rise	25.512	49.92	16.608	82.82	27.554	51.69	17.197	116.14	38.641	?	44.163	55.837	98.18	27.248	100.07	27.772	66.88	18.563	95.18	26.417	?	55.02	44.98	72.54	130.4	80.5	176.61	?	300.556	?	?	0	360.311	?	159.16	178.36	820.03	638.41	1458.44	1458.44	?	NA
14_C01_b1_t10_nelli_bra	14	C01	b1	t10	bra	193.33	0.57	221.64	0.39	2.37	fall	-13.164	161.91	0.92	278.67	1.09	9.4	rise	54.685	53.55	18.469	72.27	24.922	71.22	24.562	92.93	32.047	?	43.391	56.609	74.72	20.463	97.06	26.58	70.56	19.322	122.82	33.635	?	47.043	52.957	65.68	176.93	59.73	165.89	?	289.974	?	478.52	23.982	843.68	?	156.62	236.85	811.75	705.09	1516.84	1995.36	?	NA
14_C01_b1_t11_lilli_nob	14	C01	b1	t11	nob	235.7	0.34	279.39	0.49	2.94	rise	20.354	199.03	0.91	221.62	1.01	1.86	rise	18.237	54.34	16.792	141.94	43.858	52.25	16.145	75.1	23.205	?	60.65	39.35	22.83	9.101	57.68	22.99	75.29	30.012	95.07	37.897	?	32.091	67.909	54.93	162.94	74.76	150.36	?	323.625	?	?	0	250.873	?	203.99	210.51	778.49	653.5	1431.99	1431.99	?	NA
14_C01_b1_t12_mimmi_nob	14	C01	b1	t12	nob	208.47	0.36	294.84	0.57	6	rise	28.643	197.76	0.95	250.35	1.13	4.08	rise	22.266	53.69	15.024	154.97	43.363	53.51	14.973	95.21	26.64	?	58.387	41.613	63.29	20.821	60.76	19.989	96.36	31.7	83.57	27.49	?	40.81	59.19	46.01	188.6	60.73	146.02	?	357.382	?	?	0	303.986	?	178.57	220.98	839.94	662.34	1502.28	1502.28	?	NA
15_C01_b1_t01_leni_nob	15	C01	b1	t01	nob	198.85	0.38	317.73	0.62	8.11	rise	32.541	195.51	1.12	250.53	1.33	4.29	rise	20.832	87.44	18.534	121.82	25.823	70.27	14.895	192.23	40.748	?	44.357	55.643	41.66	10.404	167.59	41.848	56.23	14.041	134.99	33.708	?	52.251	47.749	32.72	148.34	57.75	260.1	?	471.761	?	?	0	400.469	?	277.56	263.87	1149.79	762.78	1912.57	1912.57	?	NA
15_C01_b1_t02_lilli_bra	15	C01	b1	t02	bra	207.57	0.34	241.91	0.56	2.65	rise	11.765	194.24	0.86	333.53	1.21	9.36	rise	26.134	78.2	23.765	126.77	38.526	45.86	13.937	78.23	23.773	?	62.29	37.71	29.2	7.126	91.45	22.314	85.9	20.96	203.27	49.6	?	29.44	70.56	48.17	210.93	52.19	225.99	?	329.052	?	321.67	15.373	731.486	?	215.86	278.75	954.73	816.03	1770.75	2092.43	?	NA
15_C01_b1_t03_nelli_nob	15	C01	b1	t03	nob	230.76	0.32	326.56	0.57	6.01	rise	23.891	210.87	1.04	242.23	1.22	2.4	rise	13.203	75.49	18.978	88.13	22.156	96.21	24.189	137.93	34.677	?	41.134	58.866	57.13	17.794	110.01	34.265	61.42	19.13	92.51	28.812	?	52.059	47.941	77.38	128.68	67.41	239.9	41.27	439.027	?	?	0	321.075	?	233.76	249.24	993.86	762.6	1756.46	1756.46	?	NA
15_C01_b1_t04_leni_bra	15	C01	b1	t04	bra	189.87	0.38	236.73	0.58	3.82	rise	18.762	186.87	0.88	355.35	1.28	11.13	rise	28.039	79.05	21.969	111.6	31.013	62.35	17.326	106.84	29.692	?	52.982	47.018	84.06	17.728	141.1	29.757	61.81	13.035	187.19	39.479	?	47.486	52.514	71.4	127.92	54.47	259.66	?	359.835	?	402.71	18.606	876.868	?	184.82	229.43	1018.82	742.88	1761.7	2164.41	?	NA
15_C01_b1_t05_moni_nob	15	C01	b1	t05	nob	203.47	0.34	319.96	0.6	7.84	rise	30.172	197.87	1.02	233.61	1.27	2.87	rise	11.532	94.77	22.54	111.47	26.512	76.29	18.144	137.94	32.805	?	49.051	50.949	80.37	21.877	148.35	40.383	54.06	14.716	84.58	23.024	?	62.26	37.74	67.22	151.9	61.7	240.02	33.89	454.359	?	?	0	367.362	?	223.91	237.89	1045.63	758.72	1804.35	1804.35	?	NA
15_C01_b1_t06_manni_bra	15	C01	b1	t06	bra	211.45	0.35	251.3	0.52	2.99	rise	16.929	176.71	0.91	318.26	1.26	10.19	rise	29.419	76.17	23.828	60.19	18.828	73.76	23.074	109.55	34.27	?	42.656	57.344	65.02	14.594	101.69	22.826	67.43	15.136	211.37	47.444	?	37.42	62.58	62	135.67	45.99	261.64	?	319.664	?	325.4	15.847	770.913	?	224.06	233.46	989.24	738.77	1728.01	2053.41	?	NA
15_C01_b1_t07_mimmi_nob	15	C01	b1	t07	nob	218.01	0.34	316.23	0.57	6.44	rise	27.729	215.75	0.98	232.54	1.17	1.3	rise	7.076	66.75	17.255	144.28	37.296	47.92	12.387	127.9	33.062	?	54.551	45.449	79.63	24.108	67.54	20.447	78.7	23.828	104.43	31.617	?	44.555	55.445	99.09	205.86	58.26	260.33	?	386.85	?	?	0	330.301	?	241.97	288.94	959.12	912.48	1871.6	1871.6	?	NA
15_C01_b1_t08_lilli_nob	15	C01	b1	t08	nob	206.55	0.35	307.94	0.64	6.91	rise	23.838	190.89	1.05	241.71	1.27	4.09	rise	18.583	108.01	23.315	160.34	34.61	66.17	14.284	128.75	27.792	?	57.925	42.075	60.56	16.351	92.14	24.877	90.02	24.306	127.65	34.466	?	41.228	58.772	48	222.23	57.77	257.47	45.7	508.976	?	93.04	4.694	463.41	?	204.01	220.35	1083.36	805.82	1889.18	1982.22	?	NA
15_C01_b1_t09_nelli_bra	15	C01	b1	t09	bra	212.15	0.34	254.71	0.52	3.17	rise	17.631	191.96	0.91	333.4	1.29	9.56	rise	24.801	70.4	21.743	64.83	20.024	69.25	21.39	119.29	36.844	?	41.767	58.233	65.56	13.601	111.79	23.194	71.89	14.915	232.75	48.289	?	36.795	63.205	88.74	180.44	68.78	298.92	?	323.773	?	265.65	12.104	747.641	?	235.06	251.34	1040.82	888.21	1929.03	2194.68	?	NA
15_C01_b1_t10_manni_nob	15	C01	b1	t10	nob	204.92	0.33	319.11	0.57	7.67	rise	32.918	194.07	1.06	235.09	1.27	3.32	rise	15.919	100	25.819	75.06	19.382	70.45	18.192	141.78	36.607	?	45.201	54.799	52.25	14.005	124.35	33.33	69.7	18.683	126.78	33.981	?	47.335	52.665	81.49	152.99	52.32	281.17	93.5	480.797	?	?	0	373.081	?	226.45	292.28	1080.33	860.25	1940.58	1940.58	?	NA
15_C01_b1_t11_mimmi_bra	15	C01	b1	t11	bra	202.94	0.35	316.51	0.59	7.69	rise	32.073	200.45	0.98	314.46	1.35	7.8	rise	21.064	78.07	20.174	142.55	36.835	56.62	14.631	109.75	28.36	?	57.009	42.991	76.85	16.99	71.77	15.867	91.35	20.196	212.36	46.947	?	32.857	67.143	57.17	217.66	59.94	265.73	60.56	447.549	?	353.15	15.311	805.484	?	195.89	257.04	1095.78	857.53	1953.31	2306.46	?	NA
15_C01_b1_t12_moni_bra	15	C01	b1	t12	bra	199.86	0.36	271.54	0.6	5.31	rise	22.951	185.73	1.01	325.98	1.44	9.74	rise	22.233	95.19	22.956	114.48	27.608	70.25	16.942	134.74	32.494	?	50.564	49.436	74.62	14.056	180.52	34.004	54.35	10.237	221.4	41.704	?	48.06	51.94	85.56	147.66	69.35	295.11	25.07	439.731	?	572.6	21.494	1103.49	?	221.56	301.5	1192.19	899.17	2091.36	2663.96	?	NA
