stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
424	mimmi_ch	mimmi_ch_FL_0_0367	0.2245	0.0607	18.7042	-1.0971	0.0973	0.1272	0.4882	0.3243	0.3631	45.9951	26.8077	19.1874	0.0367
425	mimmi_ch	mimmi_ch_FL_0_0364	0.2245	0.0607	18.7042	-1.102	0.097	0.1275	0.4882	0.3243	0.3628	45.9951	26.7468	19.2483	0.0364
426	mimmi_ch	mimmi_ch_FL_0_0361	0.2245	0.0607	18.7042	-1.1069	0.0967	0.1278	0.4882	0.3243	0.3625	45.9951	26.6859	19.3093	0.0361
427	mimmi_ch	mimmi_ch_FL_0_0358	0.2245	0.0607	18.7042	-1.1119	0.0964	0.1281	0.4882	0.3243	0.3622	45.9951	26.6248	19.3703	0.0358
428	mimmi_ch	mimmi_ch_FL_0_0355	0.2245	0.0607	18.7042	-1.1168	0.0961	0.1284	0.4882	0.3243	0.3619	45.9951	26.5636	19.4315	0.0355
429	mimmi_ch	mimmi_ch_FL_0_0352	0.2245	0.0607	18.7042	-1.1218	0.0958	0.1287	0.4882	0.3243	0.3616	45.9951	26.5023	19.4928	0.0352
430	mimmi_ch	mimmi_ch_FL_0_0349	0.2245	0.0607	18.7042	-1.1267	0.0955	0.129	0.4882	0.3243	0.3613	45.9951	26.4409	19.5542	0.0349
431	mimmi_ch	mimmi_ch_FL_0_0346	0.2245	0.0607	18.7042	-1.1317	0.0952	0.1293	0.4882	0.3243	0.361	45.9951	26.3794	19.6157	0.0346
432	mimmi_ch	mimmi_ch_FL_0_0343	0.2245	0.0607	18.7042	-1.1366	0.0949	0.1296	0.4882	0.3243	0.3607	45.9951	26.3178	19.6773	0.0343
433	mimmi_ch	mimmi_ch_FL_0_0340	0.2245	0.0607	18.7042	-1.1416	0.0946	0.1299	0.4882	0.3243	0.3604	45.9951	26.2561	19.739	0.034
434	mimmi_ch	mimmi_ch_FL_0_0337	0.2245	0.0607	18.7042	-1.1465	0.0943	0.1302	0.4882	0.3243	0.3601	45.9951	26.1943	19.8008	0.0337
435	mimmi_ch	mimmi_ch_FL_0_0334	0.2245	0.0607	18.7042	-1.1515	0.094	0.1305	0.4882	0.3243	0.3598	45.9951	26.1324	19.8627	0.0334
436	mimmi_ch	mimmi_ch_FL_0_0331	0.2245	0.0607	18.7042	-1.1564	0.0937	0.1308	0.4882	0.3243	0.3595	45.9951	26.0705	19.9247	0.0331
437	mimmi_ch	mimmi_ch_FL_0_0328	0.2245	0.0607	18.7042	-1.1614	0.0934	0.1311	0.4882	0.3243	0.3592	45.9951	26.0084	19.9868	0.0328
438	mimmi_ch	mimmi_ch_FL_0_0325	0.2245	0.0607	18.7042	-1.1663	0.0931	0.1314	0.4882	0.3243	0.359	45.9951	25.9462	20.0489	0.0325
439	mimmi_ch	mimmi_ch_FL_0_0322	0.2245	0.0607	18.7042	-1.1712	0.0928	0.1317	0.4882	0.3243	0.3587	45.9951	25.8839	20.1112	0.0322
440	mimmi_ch	mimmi_ch_FL_0_0319	0.2245	0.0607	18.7042	-1.1762	0.0925	0.132	0.4882	0.3243	0.3584	45.9951	25.8215	20.1737	0.0319
