stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	diffp3	uttDurOrig	uttDurMin	uttDurNew
50	lilli_manu_03	lilli_manu_03_pause_0.250	0.53	0.005	0.0175	0.25	0.28	1.6441	1.1141	1.3641
51	lilli_manu_03	lilli_manu_03_pause_0.255	0.53	0.005	0.0179	0.255	0.275	1.6441	1.1141	1.3691
52	lilli_manu_03	lilli_manu_03_pause_0.260	0.53	0.005	0.0182	0.26	0.27	1.6441	1.1141	1.3741
53	lilli_manu_03	lilli_manu_03_pause_0.265	0.53	0.005	0.0185	0.265	0.265	1.6441	1.1141	1.3791
54	lilli_manu_03	lilli_manu_03_pause_0.270	0.53	0.005	0.0189	0.27	0.26	1.6441	1.1141	1.3841
55	lilli_manu_03	lilli_manu_03_pause_0.275	0.53	0.005	0.0192	0.275	0.255	1.6441	1.1141	1.3891
56	lilli_manu_03	lilli_manu_03_pause_0.280	0.53	0.005	0.0196	0.28	0.25	1.6441	1.1141	1.3941
57	lilli_manu_03	lilli_manu_03_pause_0.285	0.53	0.005	0.02	0.285	0.245	1.6441	1.1141	1.3991
58	lilli_manu_03	lilli_manu_03_pause_0.290	0.53	0.005	0.0204	0.29	0.24	1.6441	1.1141	1.4041
59	lilli_manu_03	lilli_manu_03_pause_0.295	0.53	0.005	0.0208	0.295	0.235	1.6441	1.1141	1.4091
60	lilli_manu_03	lilli_manu_03_pause_0.300	0.53	0.005	0.0213	0.3	0.23	1.6441	1.1141	1.4141
61	lilli_manu_03	lilli_manu_03_pause_0.305	0.53	0.005	0.0217	0.305	0.225	1.6441	1.1141	1.4191
62	lilli_manu_03	lilli_manu_03_pause_0.310	0.53	0.005	0.0222	0.31	0.22	1.6441	1.1141	1.4241
63	lilli_manu_03	lilli_manu_03_pause_0.315	0.53	0.005	0.0227	0.315	0.215	1.6441	1.1141	1.4291
64	lilli_manu_03	lilli_manu_03_pause_0.320	0.53	0.005	0.0233	0.32	0.21	1.6441	1.1141	1.4341
65	lilli_manu_03	lilli_manu_03_pause_0.325	0.53	0.005	0.0238	0.325	0.205	1.6441	1.1141	1.4391
66	lilli_manu_03	lilli_manu_03_pause_0.330	0.53	0.005	0.0244	0.33	0.2	1.6441	1.1141	1.4441
67	lilli_manu_03	lilli_manu_03_pause_0.335	0.53	0.005	0.025	0.335	0.195	1.6441	1.1141	1.4491
68	lilli_manu_03	lilli_manu_03_pause_0.340	0.53	0.005	0.0256	0.34	0.19	1.6441	1.1141	1.4541
69	lilli_manu_03	lilli_manu_03_pause_0.345	0.53	0.005	0.0263	0.345	0.185	1.6441	1.1141	1.4591
70	lilli_manu_03	lilli_manu_03_pause_0.350	0.53	0.005	0.027	0.35	0.18	1.6441	1.1141	1.4641
71	lilli_manu_03	lilli_manu_03_pause_0.355	0.53	0.005	0.0278	0.355	0.175	1.6441	1.1141	1.4691
72	lilli_manu_03	lilli_manu_03_pause_0.360	0.53	0.005	0.0286	0.36	0.17	1.6441	1.1141	1.4741
73	lilli_manu_03	lilli_manu_03_pause_0.365	0.53	0.005	0.0294	0.365	0.165	1.6441	1.1141	1.4791
74	lilli_manu_03	lilli_manu_03_pause_0.370	0.53	0.005	0.0303	0.37	0.16	1.6441	1.1141	1.4841
75	lilli_manu_03	lilli_manu_03_pause_0.375	0.53	0.005	0.0312	0.375	0.155	1.6441	1.1141	1.4891
76	lilli_manu_03	lilli_manu_03_pause_0.380	0.53	0.005	0.0323	0.38	0.15	1.6441	1.1141	1.4941
77	lilli_manu_03	lilli_manu_03_pause_0.385	0.53	0.005	0.0333	0.385	0.145	1.6441	1.1141	1.4991
78	lilli_manu_03	lilli_manu_03_pause_0.390	0.53	0.005	0.0345	0.39	0.14	1.6441	1.1141	1.5041
79	lilli_manu_03	lilli_manu_03_pause_0.395	0.53	0.005	0.0357	0.395	0.135	1.6441	1.1141	1.5091
80	lilli_manu_03	lilli_manu_03_pause_0.400	0.53	0.005	0.037	0.4	0.13	1.6441	1.1141	1.5141
81	lilli_manu_03	lilli_manu_03_pause_0.405	0.53	0.005	0.0385	0.405	0.125	1.6441	1.1141	1.5191
