stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	diffp3	uttDurOrig	uttDurMin	uttDurNew
52	moni_lola_16	moni_lola_16_pause_0.260	0.79	0.005	0.0093	0.26	0.53	2.1687	1.3787	1.6387
53	moni_lola_16	moni_lola_16_pause_0.265	0.79	0.005	0.0094	0.265	0.525	2.1687	1.3787	1.6437
54	moni_lola_16	moni_lola_16_pause_0.270	0.79	0.005	0.0095	0.27	0.52	2.1687	1.3787	1.6487
55	moni_lola_16	moni_lola_16_pause_0.275	0.79	0.005	0.0096	0.275	0.515	2.1687	1.3787	1.6537
56	moni_lola_16	moni_lola_16_pause_0.280	0.79	0.005	0.0097	0.28	0.51	2.1687	1.3787	1.6587
57	moni_lola_16	moni_lola_16_pause_0.285	0.79	0.005	0.0098	0.285	0.505	2.1687	1.3787	1.6637
58	moni_lola_16	moni_lola_16_pause_0.290	0.79	0.005	0.0099	0.29	0.5	2.1687	1.3787	1.6687
59	moni_lola_16	moni_lola_16_pause_0.295	0.79	0.005	0.01	0.295	0.495	2.1687	1.3787	1.6737
60	moni_lola_16	moni_lola_16_pause_0.300	0.79	0.005	0.0101	0.3	0.49	2.1687	1.3787	1.6787
61	moni_lola_16	moni_lola_16_pause_0.305	0.79	0.005	0.0102	0.305	0.485	2.1687	1.3787	1.6837
62	moni_lola_16	moni_lola_16_pause_0.310	0.79	0.005	0.0103	0.31	0.48	2.1687	1.3787	1.6887
63	moni_lola_16	moni_lola_16_pause_0.315	0.79	0.005	0.0104	0.315	0.475	2.1687	1.3787	1.6937
64	moni_lola_16	moni_lola_16_pause_0.320	0.79	0.005	0.0105	0.32	0.47	2.1687	1.3787	1.6987
65	moni_lola_16	moni_lola_16_pause_0.325	0.79	0.005	0.0106	0.325	0.465	2.1687	1.3787	1.7037
66	moni_lola_16	moni_lola_16_pause_0.330	0.79	0.005	0.0108	0.33	0.46	2.1687	1.3787	1.7087
67	moni_lola_16	moni_lola_16_pause_0.335	0.79	0.005	0.0109	0.335	0.455	2.1687	1.3787	1.7137
68	moni_lola_16	moni_lola_16_pause_0.340	0.79	0.005	0.011	0.34	0.45	2.1687	1.3787	1.7187
69	moni_lola_16	moni_lola_16_pause_0.345	0.79	0.005	0.0111	0.345	0.445	2.1687	1.3787	1.7237
70	moni_lola_16	moni_lola_16_pause_0.350	0.79	0.005	0.0112	0.35	0.44	2.1687	1.3787	1.7287
71	moni_lola_16	moni_lola_16_pause_0.355	0.79	0.005	0.0114	0.355	0.435	2.1687	1.3787	1.7337
72	moni_lola_16	moni_lola_16_pause_0.360	0.79	0.005	0.0115	0.36	0.43	2.1687	1.3787	1.7387
73	moni_lola_16	moni_lola_16_pause_0.365	0.79	0.005	0.0116	0.365	0.425	2.1687	1.3787	1.7437
74	moni_lola_16	moni_lola_16_pause_0.370	0.79	0.005	0.0118	0.37	0.42	2.1687	1.3787	1.7487
75	moni_lola_16	moni_lola_16_pause_0.375	0.79	0.005	0.0119	0.375	0.415	2.1687	1.3787	1.7537
76	moni_lola_16	moni_lola_16_pause_0.380	0.79	0.005	0.012	0.38	0.41	2.1687	1.3787	1.7587
77	moni_lola_16	moni_lola_16_pause_0.385	0.79	0.005	0.0122	0.385	0.405	2.1687	1.3787	1.7637
78	moni_lola_16	moni_lola_16_pause_0.390	0.79	0.005	0.0123	0.39	0.4	2.1687	1.3787	1.7687
79	moni_lola_16	moni_lola_16_pause_0.395	0.79	0.005	0.0125	0.395	0.395	2.1687	1.3787	1.7737
80	moni_lola_16	moni_lola_16_pause_0.400	0.79	0.005	0.0127	0.4	0.39	2.1687	1.3787	1.7787
81	moni_lola_16	moni_lola_16_pause_0.405	0.79	0.005	0.0128	0.405	0.385	2.1687	1.3787	1.7837
82	moni_lola_16	moni_lola_16_pause_0.410	0.79	0.005	0.013	0.41	0.38	2.1687	1.3787	1.7887
83	moni_lola_16	moni_lola_16_pause_0.415	0.79	0.005	0.0132	0.415	0.375	2.1687	1.3787	1.7937
84	moni_lola_16	moni_lola_16_pause_0.420	0.79	0.005	0.0133	0.42	0.37	2.1687	1.3787	1.7987
85	moni_lola_16	moni_lola_16_pause_0.425	0.79	0.005	0.0135	0.425	0.365	2.1687	1.3787	1.8037
86	moni_lola_16	moni_lola_16_pause_0.430	0.79	0.005	0.0137	0.43	0.36	2.1687	1.3787	1.8087
87	moni_lola_16	moni_lola_16_pause_0.435	0.79	0.005	0.0139	0.435	0.355	2.1687	1.3787	1.8137
88	moni_lola_16	moni_lola_16_pause_0.440	0.79	0.005	0.0141	0.44	0.35	2.1687	1.3787	1.8187
89	moni_lola_16	moni_lola_16_pause_0.445	0.79	0.005	0.0143	0.445	0.345	2.1687	1.3787	1.8237
90	moni_lola_16	moni_lola_16_pause_0.450	0.79	0.005	0.0145	0.45	0.34	2.1687	1.3787	1.8287
91	moni_lola_16	moni_lola_16_pause_0.455	0.79	0.005	0.0147	0.455	0.335	2.1687	1.3787	1.8337
92	moni_lola_16	moni_lola_16_pause_0.460	0.79	0.005	0.0149	0.46	0.33	2.1687	1.3787	1.8387
93	moni_lola_16	moni_lola_16_pause_0.465	0.79	0.005	0.0152	0.465	0.325	2.1687	1.3787	1.8437
94	moni_lola_16	moni_lola_16_pause_0.470	0.79	0.005	0.0154	0.47	0.32	2.1687	1.3787	1.8487
95	moni_lola_16	moni_lola_16_pause_0.475	0.79	0.005	0.0156	0.475	0.315	2.1687	1.3787	1.8537
96	moni_lola_16	moni_lola_16_pause_0.480	0.79	0.005	0.0159	0.48	0.31	2.1687	1.3787	1.8587
97	moni_lola_16	moni_lola_16_pause_0.485	0.79	0.005	0.0161	0.485	0.305	2.1687	1.3787	1.8637
98	moni_lola_16	moni_lola_16_pause_0.490	0.79	0.005	0.0164	0.49	0.3	2.1687	1.3787	1.8687
99	moni_lola_16	moni_lola_16_pause_0.495	0.79	0.005	0.0167	0.495	0.295	2.1687	1.3787	1.8737
100	moni_lola_16	moni_lola_16_pause_0.500	0.79	0.005	0.0169	0.5	0.29	2.1687	1.3787	1.8787
101	moni_lola_16	moni_lola_16_pause_0.505	0.79	0.005	0.0172	0.505	0.285	2.1687	1.3787	1.8837
