stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	uttDurOrig	uttDurMin	uttDurNew
56	lilli_lisa_ch	lilli_lisa_ch_pause_0_494	0.55	0	0.898	0.494	1.778	1.228	1.722
57	lilli_lisa_ch	lilli_lisa_ch_pause_0_493	0.55	0	0.896	0.493	1.778	1.228	1.721
58	lilli_lisa_ch	lilli_lisa_ch_pause_0_492	0.55	0	0.895	0.492	1.778	1.228	1.72
59	lilli_lisa_ch	lilli_lisa_ch_pause_0_491	0.55	0	0.893	0.491	1.778	1.228	1.719
60	lilli_lisa_ch	lilli_lisa_ch_pause_0_490	0.55	0	0.891	0.49	1.778	1.228	1.718
61	lilli_lisa_ch	lilli_lisa_ch_pause_0_489	0.55	0	0.889	0.489	1.778	1.228	1.717
62	lilli_lisa_ch	lilli_lisa_ch_pause_0_488	0.55	0	0.887	0.488	1.778	1.228	1.716
63	lilli_lisa_ch	lilli_lisa_ch_pause_0_487	0.55	0	0.885	0.487	1.778	1.228	1.715
64	lilli_lisa_ch	lilli_lisa_ch_pause_0_486	0.55	0	0.884	0.486	1.778	1.228	1.714
65	lilli_lisa_ch	lilli_lisa_ch_pause_0_485	0.55	0	0.882	0.485	1.778	1.228	1.713
66	lilli_lisa_ch	lilli_lisa_ch_pause_0_484	0.55	0	0.88	0.484	1.778	1.228	1.712
67	lilli_lisa_ch	lilli_lisa_ch_pause_0_483	0.55	0	0.878	0.483	1.778	1.228	1.711
68	lilli_lisa_ch	lilli_lisa_ch_pause_0_482	0.55	0	0.876	0.482	1.778	1.228	1.71
69	lilli_lisa_ch	lilli_lisa_ch_pause_0_481	0.55	0	0.875	0.481	1.778	1.228	1.709
70	lilli_lisa_ch	lilli_lisa_ch_pause_0_480	0.55	0	0.873	0.48	1.778	1.228	1.708
71	lilli_lisa_ch	lilli_lisa_ch_pause_0_479	0.55	0	0.871	0.479	1.778	1.228	1.707
72	lilli_lisa_ch	lilli_lisa_ch_pause_0_478	0.55	0	0.869	0.478	1.778	1.228	1.706
73	lilli_lisa_ch	lilli_lisa_ch_pause_0_477	0.55	0	0.867	0.477	1.778	1.228	1.705
74	lilli_lisa_ch	lilli_lisa_ch_pause_0_476	0.55	0	0.865	0.476	1.778	1.228	1.704
75	lilli_lisa_ch	lilli_lisa_ch_pause_0_475	0.55	0	0.864	0.475	1.778	1.228	1.703
76	lilli_lisa_ch	lilli_lisa_ch_pause_0_474	0.55	0	0.862	0.474	1.778	1.228	1.702
77	lilli_lisa_ch	lilli_lisa_ch_pause_0_473	0.55	0	0.86	0.473	1.778	1.228	1.701
78	lilli_lisa_ch	lilli_lisa_ch_pause_0_472	0.55	0	0.858	0.472	1.778	1.228	1.7
79	lilli_lisa_ch	lilli_lisa_ch_pause_0_471	0.55	0	0.856	0.471	1.778	1.228	1.699
80	lilli_lisa_ch	lilli_lisa_ch_pause_0_470	0.55	0	0.855	0.47	1.778	1.228	1.698
81	lilli_lisa_ch	lilli_lisa_ch_pause_0_469	0.55	0	0.853	0.469	1.778	1.228	1.697
82	lilli_lisa_ch	lilli_lisa_ch_pause_0_468	0.55	0	0.851	0.468	1.778	1.228	1.696
83	lilli_lisa_ch	lilli_lisa_ch_pause_0_467	0.55	0	0.849	0.467	1.778	1.228	1.695
84	lilli_lisa_ch	lilli_lisa_ch_pause_0_466	0.55	0	0.847	0.466	1.778	1.228	1.694
85	lilli_lisa_ch	lilli_lisa_ch_pause_0_465	0.55	0	0.845	0.465	1.778	1.228	1.693
86	lilli_lisa_ch	lilli_lisa_ch_pause_0_464	0.55	0	0.844	0.464	1.778	1.228	1.692
87	lilli_lisa_ch	lilli_lisa_ch_pause_0_463	0.55	0	0.842	0.463	1.778	1.228	1.691
88	lilli_lisa_ch	lilli_lisa_ch_pause_0_462	0.55	0	0.84	0.462	1.778	1.228	1.69
89	lilli_lisa_ch	lilli_lisa_ch_pause_0_461	0.55	0	0.838	0.461	1.778	1.228	1.689
90	lilli_lisa_ch	lilli_lisa_ch_pause_0_460	0.55	0	0.836	0.46	1.778	1.228	1.688
91	lilli_lisa_ch	lilli_lisa_ch_pause_0_459	0.55	0	0.835	0.459	1.778	1.228	1.687
92	lilli_lisa_ch	lilli_lisa_ch_pause_0_458	0.55	0	0.833	0.458	1.778	1.228	1.686
93	lilli_lisa_ch	lilli_lisa_ch_pause_0_457	0.55	0	0.831	0.457	1.778	1.228	1.685
94	lilli_lisa_ch	lilli_lisa_ch_pause_0_456	0.55	0	0.829	0.456	1.778	1.228	1.684
95	lilli_lisa_ch	lilli_lisa_ch_pause_0_455	0.55	0	0.827	0.455	1.778	1.228	1.683
96	lilli_lisa_ch	lilli_lisa_ch_pause_0_454	0.55	0	0.825	0.454	1.778	1.228	1.682
97	lilli_lisa_ch	lilli_lisa_ch_pause_0_453	0.55	0	0.824	0.453	1.778	1.228	1.681
98	lilli_lisa_ch	lilli_lisa_ch_pause_0_452	0.55	0	0.822	0.452	1.778	1.228	1.68
99	lilli_lisa_ch	lilli_lisa_ch_pause_0_451	0.55	0	0.82	0.451	1.778	1.228	1.679
100	lilli_lisa_ch	lilli_lisa_ch_pause_0_450	0.55	0	0.818	0.45	1.778	1.228	1.678
101	lilli_lisa_ch	lilli_lisa_ch_pause_0_449	0.55	0	0.816	0.449	1.778	1.228	1.677
102	lilli_lisa_ch	lilli_lisa_ch_pause_0_448	0.55	0	0.815	0.448	1.778	1.228	1.676
103	lilli_lisa_ch	lilli_lisa_ch_pause_0_447	0.55	0	0.813	0.447	1.778	1.228	1.675
104	lilli_lisa_ch	lilli_lisa_ch_pause_0_446	0.55	0	0.811	0.446	1.778	1.228	1.674
105	lilli_lisa_ch	lilli_lisa_ch_pause_0_445	0.55	0	0.809	0.445	1.778	1.228	1.673
106	lilli_lisa_ch	lilli_lisa_ch_pause_0_444	0.55	0	0.807	0.444	1.778	1.228	1.672
107	lilli_lisa_ch	lilli_lisa_ch_pause_0_443	0.55	0	0.805	0.443	1.778	1.228	1.671
108	lilli_lisa_ch	lilli_lisa_ch_pause_0_442	0.55	0	0.804	0.442	1.778	1.228	1.67
109	lilli_lisa_ch	lilli_lisa_ch_pause_0_441	0.55	0	0.802	0.441	1.778	1.228	1.669
110	lilli_lisa_ch	lilli_lisa_ch_pause_0_440	0.55	0	0.8	0.44	1.778	1.228	1.668
111	lilli_lisa_ch	lilli_lisa_ch_pause_0_439	0.55	0	0.798	0.439	1.778	1.228	1.667
112	lilli_lisa_ch	lilli_lisa_ch_pause_0_438	0.55	0	0.796	0.438	1.778	1.228	1.666
113	lilli_lisa_ch	lilli_lisa_ch_pause_0_437	0.55	0	0.795	0.437	1.778	1.228	1.665
114	lilli_lisa_ch	lilli_lisa_ch_pause_0_436	0.55	0	0.793	0.436	1.778	1.228	1.664
115	lilli_lisa_ch	lilli_lisa_ch_pause_0_435	0.55	0	0.791	0.435	1.778	1.228	1.663
116	lilli_lisa_ch	lilli_lisa_ch_pause_0_434	0.55	0	0.789	0.434	1.778	1.228	1.662
117	lilli_lisa_ch	lilli_lisa_ch_pause_0_433	0.55	0	0.787	0.433	1.778	1.228	1.661
118	lilli_lisa_ch	lilli_lisa_ch_pause_0_432	0.55	0	0.785	0.432	1.778	1.228	1.66
119	lilli_lisa_ch	lilli_lisa_ch_pause_0_431	0.55	0	0.784	0.431	1.778	1.228	1.659
120	lilli_lisa_ch	lilli_lisa_ch_pause_0_430	0.55	0	0.782	0.43	1.778	1.228	1.658
121	lilli_lisa_ch	lilli_lisa_ch_pause_0_429	0.55	0	0.78	0.429	1.778	1.228	1.657
122	lilli_lisa_ch	lilli_lisa_ch_pause_0_428	0.55	0	0.778	0.428	1.778	1.228	1.656
123	lilli_lisa_ch	lilli_lisa_ch_pause_0_427	0.55	0	0.776	0.427	1.778	1.228	1.655
124	lilli_lisa_ch	lilli_lisa_ch_pause_0_426	0.55	0	0.775	0.426	1.778	1.228	1.654
125	lilli_lisa_ch	lilli_lisa_ch_pause_0_425	0.55	0	0.773	0.425	1.778	1.228	1.653
126	lilli_lisa_ch	lilli_lisa_ch_pause_0_424	0.55	0	0.771	0.424	1.778	1.228	1.652
127	lilli_lisa_ch	lilli_lisa_ch_pause_0_423	0.55	0	0.769	0.423	1.778	1.228	1.651
128	lilli_lisa_ch	lilli_lisa_ch_pause_0_422	0.55	0	0.767	0.422	1.778	1.228	1.65
129	lilli_lisa_ch	lilli_lisa_ch_pause_0_421	0.55	0	0.765	0.421	1.778	1.228	1.649
130	lilli_lisa_ch	lilli_lisa_ch_pause_0_420	0.55	0	0.764	0.42	1.778	1.228	1.648
131	lilli_lisa_ch	lilli_lisa_ch_pause_0_419	0.55	0	0.762	0.419	1.778	1.228	1.647
132	lilli_lisa_ch	lilli_lisa_ch_pause_0_418	0.55	0	0.76	0.418	1.778	1.228	1.646
133	lilli_lisa_ch	lilli_lisa_ch_pause_0_417	0.55	0	0.758	0.417	1.778	1.228	1.645
134	lilli_lisa_ch	lilli_lisa_ch_pause_0_416	0.55	0	0.756	0.416	1.778	1.228	1.644
135	lilli_lisa_ch	lilli_lisa_ch_pause_0_415	0.55	0	0.755	0.415	1.778	1.228	1.643
136	lilli_lisa_ch	lilli_lisa_ch_pause_0_414	0.55	0	0.753	0.414	1.778	1.228	1.642
137	lilli_lisa_ch	lilli_lisa_ch_pause_0_413	0.55	0	0.751	0.413	1.778	1.228	1.641
138	lilli_lisa_ch	lilli_lisa_ch_pause_0_412	0.55	0	0.749	0.412	1.778	1.228	1.64
