stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
136	lilli_10	lilli_10_FL_0_136	0.244	0.043	19.9	0.395	0.179	0.065	0.418	0.217	0.353	58.425	50.716	7.709	0.136
137	lilli_10	lilli_10_FL_0_137	0.244	0.043	19.9	0.399	0.18	0.064	0.418	0.217	0.354	58.425	50.854	7.571	0.137
138	lilli_10	lilli_10_FL_0_138	0.244	0.043	19.9	0.403	0.181	0.063	0.418	0.217	0.355	58.425	50.991	7.434	0.138
139	lilli_10	lilli_10_FL_0_139	0.244	0.043	19.9	0.406	0.182	0.062	0.418	0.217	0.356	58.425	51.128	7.298	0.139
140	lilli_10	lilli_10_FL_0_140	0.244	0.043	19.9	0.41	0.183	0.061	0.418	0.217	0.357	58.425	51.263	7.162	0.14
141	lilli_10	lilli_10_FL_0_141	0.244	0.043	19.9	0.414	0.184	0.06	0.418	0.217	0.358	58.425	51.398	7.027	0.141
142	lilli_10	lilli_10_FL_0_142	0.244	0.043	19.9	0.418	0.185	0.059	0.418	0.217	0.359	58.425	51.532	6.893	0.142
143	lilli_10	lilli_10_FL_0_143	0.244	0.043	19.9	0.422	0.186	0.058	0.418	0.217	0.36	58.425	51.666	6.759	0.143
144	lilli_10	lilli_10_FL_0_144	0.244	0.043	19.9	0.427	0.187	0.057	0.418	0.217	0.361	58.425	51.799	6.627	0.144
145	lilli_10	lilli_10_FL_0_145	0.244	0.043	19.9	0.431	0.188	0.056	0.418	0.217	0.362	58.425	51.931	6.495	0.145
146	lilli_10	lilli_10_FL_0_146	0.244	0.043	19.9	0.435	0.189	0.055	0.418	0.217	0.363	58.425	52.062	6.363	0.146
147	lilli_10	lilli_10_FL_0_147	0.244	0.043	19.9	0.44	0.19	0.054	0.418	0.217	0.364	58.425	52.192	6.233	0.147
148	lilli_10	lilli_10_FL_0_148	0.244	0.043	19.9	0.444	0.191	0.054	0.418	0.217	0.365	58.425	52.322	6.103	0.148
149	lilli_10	lilli_10_FL_0_149	0.244	0.043	19.9	0.449	0.192	0.053	0.418	0.217	0.365	58.425	52.451	5.974	0.149
150	lilli_10	lilli_10_FL_0_150	0.244	0.043	19.9	0.453	0.193	0.052	0.418	0.217	0.366	58.425	52.58	5.845	0.15
151	lilli_10	lilli_10_FL_0_151	0.244	0.043	19.9	0.458	0.194	0.051	0.418	0.217	0.367	58.425	52.708	5.718	0.151
152	lilli_10	lilli_10_FL_0_152	0.244	0.043	19.9	0.463	0.195	0.05	0.418	0.217	0.368	58.425	52.835	5.591	0.152
153	lilli_10	lilli_10_FL_0_152	0.244	0.043	19.9	0.468	0.196	0.049	0.418	0.217	0.369	58.425	52.961	5.464	0.152
154	lilli_10	lilli_10_FL_0_153	0.244	0.043	19.9	0.473	0.197	0.048	0.418	0.217	0.37	58.425	53.087	5.339	0.153
155	lilli_10	lilli_10_FL_0_154	0.244	0.043	19.9	0.479	0.198	0.047	0.418	0.217	0.371	58.425	53.212	5.214	0.154
156	lilli_10	lilli_10_FL_0_155	0.244	0.043	19.9	0.484	0.199	0.046	0.418	0.217	0.372	58.425	53.336	5.089	0.155
157	lilli_10	lilli_10_FL_0_156	0.244	0.043	19.9	0.489	0.2	0.045	0.418	0.217	0.373	58.425	53.46	4.965	0.156
158	lilli_10	lilli_10_FL_0_157	0.244	0.043	19.9	0.495	0.201	0.044	0.418	0.217	0.374	58.425	53.583	4.842	0.157
